Account Id,Account Name,Pipeline Id,Pipeline Name,Stage Id,Stage Name
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,2976b40e-8635-4554-be5c-0f0e45bec3b1,FDPF Insufficient Funds
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,9c5eb3ea-be5b-49dc-a9a0-6a51c4a3ea57,FDPF Incorrect Banking Info
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,3afd6755-b033-4758-9cea-0bb1781223f0,FDPF Unauthorized Draft
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,7849e8d4-0d66-4c2b-bb77-108c27f3b0d3,Pending Failed Payment Fix
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,70c68e72-a263-48e3-8e8c-110e79e4764f,Pending Lapse
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,cb8f43e4-a3bd-4b11-ac21-4af950802f13,Chargeback Failed Payment
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,9f9873d9-2c2e-4ac5-a7e2-fc36c687bc55,Chargeback Cancellation
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,c7ef498b-c90e-4931-96fd-264a40d5dbdc,Pending Chargeback Fix
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,4f39c326-025f-483d-b6a6-d723aed7b010,Chargeback Fixed
1,Test,qIBDmYws4nkCbm9Rlejc,Chargeback Pipeline,0d16a205-2999-434f-94f7-1e2ed8056df9,Chargeback DQ
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,73d2f49b-7bbe-40e2-a4cb-473661ccdadd,Issued - Pending First Draft
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,c3525ee4-5d03-41bb-b1c8-4ea946c64d06,Premium Paid - Commission Pending
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,616cedb1-542c-42a4-bd83-701eea8fd6ee,ACTIVE PLACED - Paid as Earned
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,441e0dd2-277f-40b8-837d-69ed87ab4204,ACTIVE PLACED - Paid as Advanced
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,b844925a-a050-4728-8f50-b5fe4cf13c26,ACTIVE - 3 Months +
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,d300118d-d20a-4548-9a36-452fc3bb64a7,ACTIVE - 6 months +
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,c4fc7522-17e8-4f09-8c10-ce71b22adadd,ACTIVE - 9 months
1,Test,KKfybEiU8weJ97yIjn8p,Customer Pipeline,e19c1f3e-7d68-483d-b2bb-344ea6d9a1a4,ACTIVE - Past Charge-Back Period
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,c50e9180-95f1-4594-960e-4a459afce9d5,Transfer API
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,4050aac4-5f74-4c0e-ba4d-d00f5494e8b0,Chargeback Fix API
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,9b3a4407-e985-4009-8613-7a4932392631,Incomplete Transfer
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,58f5393c-a416-45b6-806f-69fb84ede725,Returned To Center - DQ
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,cef99d2a-2138-405a-b0a4-0742de90a0d4,DQ'd Can't be sold
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,e8e2fc15-c78d-41b6-8e09-5804e50281aa,Needs BPO Callback
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,1c21301f-16c7-4bea-a4d7-8b1f4fb9a15b,Application Withdrawn
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,7ed79bb6-1d10-42b1-8b87-57df2e0b0bbe,Declined Underwriting
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,0d829a2f-eb67-4268-9590-6f49507690b2,Pending Approval
1,Test,qulGG2AnqnZ0pnsww0DI,Transfer Portal,41af5776-d4f1-46b6-88e5-11bc281b504b,Pending Manual Action
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,019e2969-83ed-4b42-a9cf-77dbc4e9af76,FDPF Pending Reason
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,11c9b6f5-56d5-4ead-b9e6-b18432186994,FDPF Insufficient Funds
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,41d0287e-62e3-4d1b-b4e3-26dda101984f,FDPF Unauthorized Draft
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,77f62fe6-8332-40e8-8066-9540a5ae6bf0,FDPF Incorrect Banking Info
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,a68cc322-b94d-4597-9767-6853f047a861,Pending Failed Payment Fix
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,e3420168-6eaa-435f-b713-ba28f457a98b,Pending Lapse
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,9782bfed-a6dd-4522-8a03-49bc7d8985ba,Chargeback Failed Payment
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,1d2163e0-51d8-421d-97c0-10f408ba9146,Chargeback Cancellation
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,ca88a314-f465-46ac-bdf6-f98113d53a00,Pending Chargeback Fix
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,38e9d9bb-af84-4b23-98d4-fd297b6a20c9,Chargeback Fixed
2,Ark Tech,dOkTFyE6wdBdmafhaUmo,Chargeback Pipeline,5383f5e4-3eeb-4acf-99e8-88662c386c81,Chargeback DQ
2,Ark Tech,0BkkFdKbxY7fChcZ3g8M,Customer Pipeline,3a7d8a5b-e46b-4be1-b2e6-a72218bc5fb8,Issued - Pending First Draft
2,Ark Tech,0BkkFdKbxY7fChcZ3g8M,Customer Pipeline,4628bb1e-89c3-49cd-9b9b-98afb145aea6,Premium Paid - Commission Pending
